condition1,condition2,trialNo,response_m,response_r,response_l,p_resp_s,p_meanRT_s,p_resp_rf,p_meanRT_rf,c_resp_s,c_meanRT_s,c_resp_rf,c_meanRT_rf,may_resp_s,may_meanRT_s,may_resp_rf,may_meanRT_rf,might_resp_s,might_meanRT_s,might_resp_rf,might_meanRT_rf,o_resp_s,o_meanRT_s,o_resp_rf,o_meanRT_rf,s_resp_s,s_meanRT_s,s_resp_rf,s_meanRT_rf
flouting,scenario2,171,,,,,,,,0.631578947368421,1163.2105263157894,0.6,2988.4,0.5116279069767442,1196.4418604651162,0.2,2036.75,0.358974358974359,1141.6923076923076,0.14285714285714285,2654.4285714285716,0.23255813953488372,1061.906976744186,0.1111111111111111,2733.3703703703704,0.20454545454545456,1114.090909090909,0.0625,2210.8125
immoral,scenario2,172,,,,,,,,0.35,973.075,0.3684210526315789,2257.157894736842,0.23529411764705882,949.9411764705883,0.6,2326.6,0.17073170731707318,958.6585365853658,0.0,1907.0,0.0,847.72,0.1111111111111111,2510.8888888888887,0.02040816326530612,851.8979591836735,0.0,3945.3333333333335
flouting,scenario2,173,,,,,,,,0.5641025641025641,1046.1025641025642,0.32142857142857145,2313.464285714286,0.35555555555555557,1065.8,0.35714285714285715,2428.3571428571427,0.28205128205128205,1064.7948717948718,0.0,2016.7,0.08163265306122448,997.9591836734694,0.045454545454545456,3695.2272727272725,0.10638297872340426,1008.7872340425532,0.0,3131.8333333333335
impossible,scenario2,174,,,,,,,,0.15789473684210525,1007.8421052631579,0.13043478260869565,2120.8695652173915,0.02040816326530612,1095.0816326530612,0.0,2037.1,0.0,975.3421052631579,0.0,1864.8666666666666,0.02040816326530612,941.6530612244898,0.0,2390.222222222222,0.0425531914893617,962.7872340425532,0.0,2557.4166666666665
flouting,scenario2,175,,,,,,,,0.75,1151.1944444444443,0.6,3026.5714285714284,0.6744186046511628,1164.2790697674418,0.5,2808.2,0.5483870967741935,1200.4193548387098,0.46153846153846156,2608.346153846154,0.5952380952380952,1088.0238095238096,0.30303030303030304,3423.3636363636365,0.32558139534883723,1141.5116279069769,0.3076923076923077,2650.346153846154
ordinary,scenario2,176,,,,,,,,0.8823529411764706,1082.8235294117646,0.8421052631578947,2326.315789473684,0.8333333333333334,1071.047619047619,0.9166666666666666,2295.8333333333335,0.9024390243902439,1081.5853658536585,0.9285714285714286,2303.4285714285716,0.851063829787234,1008.2765957446809,0.9090909090909091,2576.818181818182,0.8260869565217391,1020.0652173913044,1.0,2736.0
immoral,scenario1,177,,,,,,,,0.29545454545454547,1082.9318181818182,0.21052631578947367,2299.4736842105262,0.11363636363636363,976.0227272727273,0.36363636363636365,2056.090909090909,0.08695652173913043,980.9565217391304,0.3333333333333333,2002.4444444444443,0.0,901.2608695652174,0.0,2688.25,0.045454545454545456,888.9772727272727,0.25,2281.5
impossible,scenario1,178,,,,,,,,0.07692307692307693,1079.1025641025642,0.14285714285714285,2345.6190476190477,0.0,1054.111111111111,0.0,2803.8888888888887,0.021739130434782608,984.5869565217391,0.1111111111111111,2143.1111111111113,0.02127659574468085,1010.8936170212766,0.0,2177.0833333333335,0.02564102564102564,969.0512820512821,0.0,2135.1111111111113
impossible,scenario1,179,,,,,,,,0.0,985.4047619047619,0.0,2463.909090909091,0.06666666666666667,912.9555555555555,0.0,2764.3333333333335,0.0,892.7777777777778,0.0,1794.75,0.0,888.063829787234,0.0,2609.5,0.023255813953488372,915.1162790697674,0.0,3152.0
immoral,scenario1,180,,,,,,,,0.37209302325581395,1065.0232558139535,0.47368421052631576,2623.157894736842,0.1702127659574468,993.7021276595744,0.375,2302.125,0.09302325581395349,930.2325581395348,0.0,2056.8571428571427,0.021739130434782608,916.5434782608696,0.0,2640.4444444444443,0.024390243902439025,889.439024390244,0.0,3001.3333333333335
immoral,scenario1,181,,,,,,,,0.275,1081.975,0.29411764705882354,2506.1176470588234,0.16666666666666666,1039.857142857143,0.2857142857142857,2078.1428571428573,0.13043478260869565,994.0217391304348,0.15384615384615385,2500.076923076923,0.0,1007.1333333333333,0.0,2303.0,0.046511627906976744,951.7441860465116,0.0,1876.7777777777778
ordinary,scenario1,182,,,,,,,,0.8095238095238095,1037.595238095238,0.8823529411764706,2442.0,0.8913043478260869,1010.7608695652174,1.0,2046.6666666666667,0.9130434782608695,1009.7391304347826,1.0,1873.9285714285713,0.7450980392156863,1052.0588235294117,0.9,3902.5,0.9285714285714286,1023.7857142857143,0.9333333333333333,1858.4
ordinary,scenario1,183,,,,,,,,0.9,980.875,1.0,1986.0833333333333,0.9795918367346939,998.2448979591836,1.0,2787.8888888888887,0.9047619047619048,962.952380952381,1.0,1860.8333333333333,0.8775510204081632,969.5510204081633,0.9166666666666666,2109.9166666666665,0.9318181818181818,990.5,0.8571428571428571,2035.857142857143
ordinary,scenario1,184,,,,,,,,0.875,1090.225,0.9090909090909091,2250.409090909091,0.8636363636363636,1088.159090909091,1.0,2494.5454545454545,0.926829268292683,1122.0975609756097,0.9375,2358.0625,0.7317073170731707,1126.658536585366,0.8888888888888888,2426.1111111111113,0.7317073170731707,1080.2439024390244,0.9375,2393.0
flouting,scenario1,185,,,,,,,,0.5882352941176471,1148.4117647058824,0.4482758620689655,2355.5862068965516,0.3333333333333333,1095.5833333333333,0.35,2239.95,0.3488372093023256,1078.046511627907,0.4,2659.72,0.044444444444444446,1098.2888888888888,0.1875,2389.875,0.07894736842105263,1085.0,0.047619047619047616,2561.2380952380954
